base_bid,impressions,cost,clicks,ctr,cpc,CPM
38.4,73468,1782.275,41,0.000558066,43.47012195,24.25920128
38.5,73614,1788.135,41,0.000556959,43.61304878,24.29069199
38.6,73747,1793.823,41,0.000555955,43.75178049,24.32401318
38.7,73943,1800.736,41,0.000554481,43.92039024,24.35302868
38.8,74097,1806.452,41,0.000553329,44.05980488,24.37955653
38.9,74212,1811.646,41,0.000552471,44.1864878,24.41176629
39,74346,1817.208,41,0.000551476,44.32214634,24.44257929
39.1,74461,1821.934,41,0.000550624,44.43741463,24.46829884
39.2,75001,1840.578,41,0.000546659,44.89214634,24.54071279
39.3,75380,1854.057,41,0.000543911,45.22090244,24.59613956
39.4,75654,1865.874,41,0.000541941,45.50912195,24.6632564
39.5,75903,1875.71,41,0.000540163,45.74902439,24.71193497
39.6,76201,1889.38,41,0.000538051,46.08243902,24.79468773
39.7,76380,1897.996,41,0.00053679,46.29258537,24.84938466
39.8,76539,1903.472,41,0.000535675,46.42614634,24.86930846
39.9,76840,1916.146,41,0.000533576,46.73526829,24.93682978
40,76997,1922.928,41,0.000532488,46.90068293,24.97406392
40.1,77206,1931.4,41,0.000531047,47.10731707,25.01619045
40.2,77319,1935.615,41,0.000530271,47.21012195,25.03414426
40.3,77830,1952.716,42,0.000539638,46.4932381,25.08950276
40.4,77994,1958.56,42,0.000538503,46.63238095,25.11167526
40.5,78160,1965.112,42,0.000537359,46.78838095,25.14216991
40.6,78264,1969.49,42,0.000536645,46.89261905,25.16469897
40.7,78471,1980.295,42,0.00053523,47.14988095,25.23601076
40.8,78581,1985.252,42,0.00053448,47.26790476,25.26376605
40.9,78846,1999.405,43,0.000545367,46.4977907,25.3583568
41,79020,2006.963,43,0.000544166,46.67355814,25.39816502
41.1,79164,2012.512,43,0.000543176,46.80260465,25.42206053
41.2,79305,2018.511,43,0.00054221,46.94211628,25.45250615
41.3,79521,2026.696,43,0.000540738,47.13246512,25.48629922
41.4,79845,2040.728,44,0.000551068,46.38018182,25.55861983
41.5,80049,2050.307,44,0.000549663,46.59788636,25.61314945
41.6,80192,2056.32,44,0.000548683,46.73454545,25.6424581
41.7,80428,2066.704,44,0.000547073,46.97054545,25.69632466
41.8,80602,2074.084,44,0.000545892,47.13827273,25.73241359
41.9,80775,2080.577,44,0.000544723,47.28584091,25.75768493
42,80929,2087.171,44,0.000543686,47.43570455,25.79014939
42.1,81028,2091.214,44,0.000543022,47.52759091,25.80853532
42.2,81223,2098.989,44,0.000541718,47.70429545,25.84229836
42.3,81439,2110.537,44,0.000540282,47.96675,25.91555643
42.4,81797,2131.697,44,0.000537917,48.44765909,26.0608213
42.5,81952,2138.243,44,0.0005369,48.59643182,26.09140717
42.6,82166,2145.241,44,0.000535501,48.75547727,26.10862157
42.7,82295,2151.259,44,0.000534662,48.89225,26.14082265
42.8,82431,2157.022,44,0.00053378,49.02322727,26.16760685
42.9,82686,2168.162,44,0.000532134,49.27640909,26.22163365
43,82945,2176.929,44,0.000530472,49.47565909,26.24545181
43.1,83310,2193.346,44,0.000528148,49.84877273,26.32752371
43.2,83550,2203.502,44,0.000526631,50.07959091,26.37345302
43.3,83695,2210.59,44,0.000525718,50.24068182,26.41244997
43.4,83847,2218.545,44,0.000524765,50.42147727,26.45944399
43.5,84026,2228.005,44,0.000523647,50.63647727,26.51566182
43.6,84173,2234.574,44,0.000522733,50.78577273,26.54739643
43.7,84362,2244.542,44,0.000521562,51.01231818,26.60607857
43.8,84481,2250.174,46,0.000544501,48.91682609,26.6352671
43.9,84597,2255.594,46,0.000543755,49.03465217,26.6628131
44,84866,2267.11,46,0.000542031,49.285,26.71399618
44.1,84953,2271.188,46,0.000541476,49.37365217,26.73464151
44.2,85130,2280.655,46,0.00054035,49.57945652,26.79026195
44.3,85385,2292.118,46,0.000538736,49.82865217,26.8445043
44.4,85613,2301.998,46,0.000537302,50.04343478,26.88841648
44.5,86003,2318.454,46,0.000534865,50.40117391,26.95782705
44.6,86290,2332.035,46,0.000533086,50.69641304,27.02555337
44.7,86468,2340.491,46,0.000531989,50.88023913,27.06771291
44.8,86602,2346.862,46,0.000531166,51.01873913,27.09939724
44.9,86812,2356.956,47,0.0005414,50.148,27.1501175
45,87072,2368.853,48,0.000551268,49.35110417,27.20568036
45.1,87238,2375.844,48,0.000550219,49.49675,27.23404938
45.2,87453,2385.512,48,0.000548866,49.69816667,27.27764628
45.3,87753,2401.305,48,0.00054699,50.0271875,27.36436361
45.4,87863,2405.757,48,0.000546305,50.1199375,27.38077462
45.5,88047,2412.945,48,0.000545163,50.2696875,27.40519268
45.6,88259,2421.325,48,0.000543854,50.44427083,27.43431265
45.7,88409,2429.048,48,0.000542931,50.60516667,27.47512131
45.8,88610,2437.972,48,0.0005417,50.79108333,27.51350863
45.9,88844,2450.929,48,0.000540273,51.06102083,27.58688263
46,89147,2468.18,48,0.000538437,51.42041667,27.68662995
46.1,89356,2476.611,48,0.000537177,51.5960625,27.71622499
46.2,89517,2484.439,48,0.000536211,51.75914583,27.7538233
46.3,89694,2492.894,48,0.000535153,51.93529167,27.79331951
46.4,89816,2498.287,48,0.000534426,52.04764583,27.81561192
46.5,90069,2511.378,49,0.000544027,51.25261224,27.88282317
46.6,90360,2524.88,49,0.000542275,51.52816327,27.94245241
46.7,90570,2533.91,51,0.0005631,49.6845098,27.97736557
46.8,90922,2551.373,52,0.000571919,49.06486538,28.06111832
46.9,91043,2557.481,52,0.000571159,49.18232692,28.09091309
47,91213,2567.673,52,0.000570094,49.37832692,28.15029656
47.1,91370,2575.205,52,0.000569115,49.52317308,28.18436029
47.2,91623,2587.508,52,0.000567543,49.75976923,28.2408129
47.3,91730,2592.98,52,0.000566881,49.865,28.26752426
47.4,91916,2601.991,52,0.000565734,50.03828846,28.30835763
47.5,92185,2613.077,52,0.000564083,50.25148077,28.34601074
47.6,92409,2623.642,53,0.000573537,49.50267925,28.39162852
47.7,92614,2634.197,53,0.000572268,49.70183019,28.44275164
47.8,92930,2651.877,54,0.000581083,49.10883333,28.53628538
47.9,93070,2658.806,54,0.000580208,49.23714815,28.56780918
48,93278,2668.146,54,0.000578915,49.41011111,28.6042368
48.1,93641,2685.477,54,0.00057667,49.73105556,28.67843146
48.2,93867,2696.156,54,0.000575282,49.92881481,28.72315084
48.3,94068,2705.759,54,0.000574053,50.10664815,28.76386231
48.4,94270,2716.527,54,0.000572823,50.30605556,28.81645274
48.5,94560,2731.066,54,0.000571066,50.5752963,28.88183164
48.6,94743,2739.766,54,0.000569963,50.73640741,28.91787256
48.7,94883,2746.206,54,0.000569122,50.85566667,28.94307726
48.8,95069,2755.234,55,0.000578527,50.09516364,28.9814135
48.9,95228,2763.541,56,0.000588062,49.34894643,29.02025665
49,95362,2769.121,56,0.000587236,49.44858929,29.03799207
