base_bid,impressions,cost,clicks,ctr,cpc
32.1,61208,1327.606,32,0.000522807476146909,41.4876875
32.2,61404,1333.885,32,0.000521138688033353,41.68390625
32.3,61602,1341.539,32,0.000519463653777475,41.92309375
32.4,61865,1351.138,32,0.00051725531399014,42.2230625
32.5,62036,1356.654,33,0.000531949190792443,41.1107272727273
32.6,62210,1363.165,33,0.000530461340620479,41.3080303030303
32.7,62386,1369.175,33,0.0005289648318533,41.4901515151515
32.8,62590,1377.597,33,0.000527240773286468,41.7453636363636
32.9,62850,1386.361,34,0.000540970564836913,40.7753235294118
33,63013,1392.693,35,0.000555440940758256,39.7912285714286
33.1,63191,1398.197,35,0.000553876343150132,39.9484857142857
33.2,63313,1402.447,35,0.000552809059750762,40.0699142857143
33.3,63471,1407.523,35,0.000551432937877141,40.2149428571429
33.4,63640,1413.071,35,0.000549968573224387,40.3734571428571
33.5,63787,1418.392,35,0.000548701146001536,40.5254857142857
33.6,64140,1430.183,35,0.000545681322107889,40.8623714285714
33.7,64269,1435.033,35,0.000544586036814016,41.0009428571429
33.8,64453,1441.19,35,0.000543031356182024,41.1768571428571
33.9,64697,1449.635,36,0.000556440020402801,40.2676388888889
34,65020,1462.811,36,0.00055367579206398,40.6336388888889
34.1,65178,1467.9,36,0.000552333609500138,40.775
34.2,65388,1475.828,36,0.000550559735731327,40.9952222222222
34.3,65549,1481.263,36,0.000549207463119193,41.1461944444444
34.4,65716,1487.378,36,0.000547811796214012,41.3160555555556
34.5,65832,1492.107,37,0.000562036699477458,40.3272162162162
34.6,65965,1497.352,37,0.000560903509436823,40.468972972973
34.7,66120,1502.569,37,0.000559588626739262,40.609972972973
34.8,66288,1508.605,37,0.000558170407916968,40.7731081081081
34.9,66431,1514.246,37,0.000556968885008505,40.9255675675676
35,66569,1519.659,37,0.000555814267902477,41.0718648648649
35.1,66734,1526.33,37,0.00055444001558426,41.2521621621622
35.2,66928,1534.737,37,0.000552832895051399,41.4793783783784
35.3,67157,1544.927,37,0.000550947779084831,41.7547837837838
35.4,67328,1551.422,37,0.000549548479087453,41.9303243243243
35.5,67555,1560.189,37,0.000547701872548294,42.1672702702703
35.6,67858,1571.348,38,0.00055999292640514,41.3512631578947
35.7,68057,1578.251,38,0.000558355496128245,41.5329210526316
35.8,68278,1586.353,38,0.00055654822929787,41.7461315789474
35.9,68430,1591.076,38,0.000555311997661844,41.8704210526316
36,68642,1599.235,39,0.000568165263249905,41.0060256410256
36.1,68818,1606.23,39,0.000566712197390218,41.1853846153846
36.2,68995,1612.977,40,0.00057975215595333,40.324425
36.3,69412,1627.098,41,0.000590675963810292,39.6853170731707
36.4,69538,1632.311,41,0.000589605683223561,39.8124634146341
36.5,69730,1639.15,41,0.000587982217123189,39.9792682926829
36.6,69839,1643.022,41,0.000587064534142814,40.0737073170732
36.7,70047,1651.811,41,0.000585321284280554,40.2880731707317
36.8,70261,1660.855,41,0.000583538520658687,40.5086585365854
36.9,70573,1674.47,41,0.000580958723591175,40.8407317073171
37,70789,1682.627,41,0.000579186031728093,41.0396829268293
37.1,70968,1688.848,41,0.000577725171908466,41.1914146341463
37.2,71128,1694.554,41,0.000576425598920256,41.3305853658537
37.3,71228,1698.02,41,0.000575616330656483,41.4151219512195
37.4,71438,1703.862,41,0.000573924242000056,41.5576097560976
37.5,71543,1708.566,41,0.000573081922759739,41.6723414634146
37.6,71657,1712.865,41,0.000572170199701355,41.7771951219512
37.7,72134,1729.66,41,0.000568386613802091,42.1868292682927
37.8,72265,1734.018,41,0.000567356258216287,42.2931219512195
37.9,72425,1740.8,41,0.000566102865032793,42.4585365853659
38,72620,1748.345,41,0.000564582759570366,42.6425609756098
38.1,72879,1758.239,41,0.000562576325141673,42.8838780487805
38.2,73054,1765.388,41,0.000561228680154406,43.058243902439
38.3,73243,1773.621,41,0.000559780456835465,43.2590487804878
38.4,73468,1782.275,41,0.000558066096804051,43.4701219512195
38.5,73614,1788.135,41,0.000556959274051132,43.6130487804878
38.6,73747,1793.823,41,0.000555954818501092,43.7517804878049
38.7,73943,1800.736,41,0.000554481154402716,43.9203902439024
38.8,74097,1806.452,41,0.000553328744753499,44.0598048780488
38.9,74212,1811.646,41,0.0005524712984423,44.186487804878
39,74346,1817.208,41,0.000551475533317193,44.3221463414634
39.1,74461,1821.934,41,0.000550623816494541,44.4374146341463
39.2,75001,1840.578,41,0.000546659377874962,44.8921463414634
39.3,75380,1854.057,41,0.000543910851684797,45.2209024390244
39.4,75654,1865.874,41,0.000541940941655431,45.5091219512195
39.5,75903,1875.71,41,0.000540163102907658,45.7490243902439
39.6,76201,1889.38,41,0.000538050681749583,46.0824390243902
39.7,76380,1897.996,41,0.000536789735532862,46.2925853658537
39.8,76539,1903.472,41,0.000535674623394609,46.4261463414634
39.9,76840,1916.146,41,0.000533576262363352,46.7352682926829
40,76997,1922.928,41,0.000532488278764108,46.9006829268293
40.1,77206,1931.4,41,0.000531046809833433,47.1073170731707
40.2,77319,1935.615,41,0.000530270696723962,47.2101219512195
40.3,77830,1952.716,42,0.000539637671848901,46.4932380952381
40.4,77994,1958.56,42,0.00053850296176629,46.6323809523809
40.5,78160,1965.112,42,0.000537359263050154,46.788380952381
40.6,78264,1969.49,42,0.000536645200858632,46.892619047619
40.7,78471,1980.295,42,0.000535229575257101,47.149880952381
40.8,78581,1985.252,42,0.000534480345121594,47.2679047619048
40.9,78846,1999.405,43,0.000545366917789108,46.4977906976744
41,79020,2006.963,43,0.000544166033915464,46.6735581395349
41.1,79164,2012.512,43,0.000543176191198019,46.8026046511628
41.2,79305,2018.511,43,0.000542210453313158,46.9421162790698
41.3,79521,2026.696,43,0.000540737666779844,47.1324651162791
41.4,79845,2040.728,44,0.000551067693656459,46.3801818181818
41.5,80049,2050.307,44,0.000549663331209634,46.5978863636364
41.6,80192,2056.32,44,0.000548683160415004,46.7345454545455
41.7,80428,2066.704,44,0.000547073158601482,46.9705454545455
41.8,80602,2074.084,44,0.000545892161484827,47.1382727272727
41.9,80775,2080.577,44,0.000544722995976478,47.2858409090909
42,80929,2087.171,44,0.000543686441201547,47.4357045454545
42.1,81028,2091.214,44,0.00054302216517747,47.5275909090909
42.2,81223,2098.989,44,0.000541718478756017,47.7042954545455
42.3,81439,2110.537,44,0.000540281683223026,47.96675
42.4,81797,2131.697,44,0.000537917038522195,48.4476590909091
42.5,81952,2138.243,44,0.000536899648574775,48.5964318181818
42.6,82166,2145.241,44,0.000535501302241803,48.7554772727273
42.7,82295,2151.259,44,0.000534661887113433,48.89225
42.8,82431,2157.022,44,0.000533779767320547,49.0232272727273
42.9,82686,2168.162,44,0.000532133613912875,49.2764090909091
43,82945,2176.929,44,0.000530471999517753,49.4756590909091
43.1,83310,2193.346,44,0.000528147881406794,49.8487727272727
43.2,83550,2203.502,44,0.000526630760023938,50.0795909090909
43.3,83695,2210.59,44,0.00052571838222116,50.2406818181818
43.4,83847,2218.545,44,0.000524765346404761,50.4214772727273
43.5,84026,2228.005,44,0.000523647442458287,50.6364772727273
43.6,84173,2234.574,44,0.000522732942867665,50.7857727272727
43.7,84362,2244.542,44,0.00052156184063915,51.0123181818182
43.8,84481,2250.174,46,0.000544501130431695,48.9168260869565
43.9,84597,2255.594,46,0.000543754506660993,49.034652173913
44,84866,2267.11,46,0.00054203096646478,49.285
